Variable,Variable_Label,Values,Value_Labels
FBSOURCE_b_W144,,2,"No, I don’t get news on Facebook from them"
FBSOURCE_b_W144,,99,Refused
FBSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
FBSOURCE_c_W144,,2,"No, I don’t get news on Facebook from them"
FBSOURCE_c_W144,,99,Refused
FBSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
FBSOURCE_d_W144,,2,"No, I don’t get news on Facebook from them"
FBSOURCE_d_W144,,99,Refused
FBSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
FBSOURCE_e_W144,,2,"No, I don’t get news on Facebook from them"
FBSOURCE_e_W144,,99,Refused
FBTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
FBTYPE_a_W144,,2,"No, I don’t see this on Facebook"
FBTYPE_a_W144,,99,Refused
FBTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on Facebook?",1,"Yes, I see this on Facebook"
FBTYPE_b_W144,,2,"No, I don’t see this on Facebook"
FBTYPE_b_W144,,99,Refused
FBTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
FBTYPE_c_W144,,2,"No, I don’t see this on Facebook"
FBTYPE_c_W144,,99,Refused
FBTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
FBTYPE_d_W144,,2,"No, I don’t see this on Facebook"
FBTYPE_d_W144,,99,Refused
FBACC_W144,How often do you see news on Facebook that seems inaccurate?,1,Extremely often
FBACC_W144,,2,Fairly often
FBACC_W144,,3,Sometimes
FBACC_W144,,4,Rarely
FBACC_W144,,5,Never
FBACC_W144,,99,Refused
FBINFLUENCE_W144,"How much, if at all, do you think Facebook influences which news stories you see on the platform?",1,A lot
FBINFLUENCE_W144,,2,Some
FBINFLUENCE_W144,,3,Not much
FBINFLUENCE_W144,,4,Not at all
FBINFLUENCE_W144,,99,Refused
FBELSE_W144,Would you say the news you get on Facebook is…,1,Mostly news you would have gotten elsewhere if you didn’t use Facebook
FBELSE_W144,,2,Mostly news you would not have gotten elsewhere
FBELSE_W144,,3,Both about equally
FBELSE_W144,,99,Refused
FBWORN_W144,How often do you feel worn out by the news you see on Facebook?,1,Extremely often
FBWORN_W144,,2,Fairly often
FBWORN_W144,,3,Sometimes
FBWORN_W144,,4,Rarely
FBWORN_W144,,5,Never
FBWORN_W144,,99,Refused
FBHARASS_W144,How much of a problem is people getting harassed on Facebook?,1,Major problem
FBHARASS_W144,,2,Minor problem
FBHARASS_W144,,3,Not a problem
FBHARASS_W144,,99,Refused
FBSHARE_W144,Do you ever post or share on Facebook?,1,"Yes, I do"
FBSHARE_W144,,2,"No, I don’t"
FBSHARE_W144,,99,Refused
FBSHAREPOL_W144,How much of what you post or share on Facebook is about politics or political issues?,1,All or almost all
FBSHAREPOL_W144,,2,Most
FBSHAREPOL_W144,,3,Some
FBSHAREPOL_W144,,4,A little
FBSHAREPOL_W144,,5,None at all
FBSHAREPOL_W144,,99,Refused
FBWHYSP_a_W144,Your views are welcome there // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
FBWHYSP_a_W144,,2,Minor reason
FBWHYSP_a_W144,,3,Not a reason
FBWHYSP_a_W144,,99,Refused
FBWHYSP_b_W144,It’s a place you can make a difference // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
FBWHYSP_b_W144,,2,Minor reason
FBWHYSP_b_W144,,3,Not a reason
FBWHYSP_b_W144,,99,Refused
FBWHYSP_c_W144,Politics belongs there // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
FBWHYSP_c_W144,,2,Minor reason
FBWHYSP_c_W144,,3,Not a reason
FBWHYSP_c_W144,,99,Refused
FBWHYSP_d_W144,You feel it’s something you should do // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
FBWHYSP_d_W144,,2,Minor reason
FBWHYSP_d_W144,,3,Not a reason
FBWHYSP_d_W144,,99,Refused
FBWHYNTSP_a_W144,You don’t want to be criticized or harassed there // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
FBWHYNTSP_a_W144,,2,Minor reason
FBWHYNTSP_a_W144,,3,Not a reason
FBWHYNTSP_a_W144,,99,Refused
FBWHYNTSP_b_W144,Posting there won’t make a difference // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
FBWHYNTSP_b_W144,,2,Minor reason
FBWHYNTSP_b_W144,,3,Not a reason
FBWHYNTSP_b_W144,,99,Refused
FBWHYNTSP_c_W144,Politics doesn’t belong there // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
FBWHYNTSP_c_W144,,2,Minor reason
FBWHYNTSP_c_W144,,3,Not a reason
FBWHYNTSP_c_W144,,99,Refused
FBWHYNTSP_d_W144,You don’t care about politics // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
FBWHYNTSP_d_W144,,2,Minor reason
FBWHYNTSP_d_W144,,3,Not a reason
FBWHYNTSP_d_W144,,99,Refused
FBSEEPOL_W144,How much of what you see on Facebook is about politics or political issues?,1,All or almost all
FBSEEPOL_W144,,2,Most
FBSEEPOL_W144,,3,Some
FBSEEPOL_W144,,4,A little
FBSEEPOL_W144,,5,None at all
FBSEEPOL_W144,,99,Refused
FBPOLIDEO_W144,"Overall, does what you see about politics or political issues on Facebook lean…",1,Mostly conservative
FBPOLIDEO_W144,,2,Mostly liberal
FBPOLIDEO_W144,,3,Doesn’t lean either way
FBPOLIDEO_W144,,4,Not sure
FBPOLIDEO_W144,,99,Refused
FBFREEEXP_W144,"On Facebook, do you think people feel free to openly express their political views?",1,Yes
FBFREEEXP_W144,,2,No
FBFREEEXP_W144,,99,Refused
IGWHY_a_W144,To get news // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_a_W144,,2,Minor reason
IGWHY_a_W144,,3,Not a reason
IGWHY_a_W144,,99,Refused
